--------------
select id, medieval_catalogue from books_book where medieval_catalogue > '' order by id
--------------

id	medieval_catalogue
150	BP20.6
151	BP20.9
152	BP21.251
154	BP21.344
155	BP13.5
157	BP4.4
158	BP21.338 ?
159	BP21.232f--g ?
161	BP21.3
162	BP21.38
165	BP3.42
166	BP21.24
168	BP23.2
169	BP2.15 = BP21.9
174	BP21.25
176	BP21.16
181	BP4.6
186	BP2.8 = BP21.56
191	BP21.190
192	BP21
193	BP2.20 = BP23.15 ?
205	S1.25, S2.22
244	B4.2
318	B5.10
319	B5.1
320	B5.7
321	B5.8
322	B5.11
343	P1. 1
493	A6. 1
584	B13. 20
594	B13. 2
596	B13. 28
605	B13. 29
606	B13. 40
617	B13. 69
618	B13. 168
619	B13. 171
620	B13. 3
621	B13. 38
645	B13. 186
646	B13. 46
648	B13. 244
651	B13. 124
652	?B13. 91
653	B13. 218
656	B13.141
657	B13.217
658	B13.224
660	?B13. 223
662	?B13.158
666	?B13. 225
668	B13.220
671	B13.145
674	B13.130
676	?B13.229
679	B13.125
683	B13.230
687	B13.151
688	B13.209
697	B13.4
699	?B13.39
700	?B13.97
712	B13.163
720	B13.201
733	B13.67
736	B13.42
750	?B13.164
757	B13.85
774	B13.170
796	B16.5
799	B13.34
806	B13.60
813	B16.13
822	B13.101
826	B16.18
828	B13.189
829	B13.181
830	B13.180
831	B13.57
832	B13.191
833	B13.25
834	B13.62
835	B13.37
836	B13.13
838	B13.6
839	B13.192
840	B16.16--17
843	B13.7
844	B13.251
849	B13.101e
965	UC2.25
968	UC3.99
970	UC3.72
971	UC7.143
973	UC15.22
974	UC15.14
975	UC15.13
985	UC29.43
988	UC39.75, UC41.2
1004	UC48.386
1005	UC48.160
1006	UC48.163
1007	UC48.213
1010	UC48.114
1011	UC48.205
1012	UC48.385
1013	UC48.207
--------------
select id, medieval_catalogue_notes from books_book where medieval_catalogue_notes > '' order by id
--------------

id	medieval_catalogue_notes
3	Leofric
5	?Leofric; cat. p. 309
6	?Leofric; cat. pp. 304, 367
7	?Leofric
11	Leofric; cat. pp. 303, 368
12	Cat. p. 371
13	Cat. p. 369
14	Cat. p. 304
16	Leofric
18	Cat. p. 367
19	Cat. p. 350
20	Cat. p. 333
21	Cat. p. 368
23	"Cat. pp. 304, 369"
24	Cat. p. 331
25	Cat. p. 370; Leland
27	"Cat. pp. 303, 371"
30	?Leofric; cat. p. 351
36	?Leofric; cat. p. 334
37	?Leofric
40	"Leofric; cat. pp. 303, 368; Leland"
42	Cat. p. 368
44	Cat. p. 350
45	"Cat. pp. 307, 368"
46	"Cat. pp. 308, 373"
47	"Cat. pp. 308(?), 373"
48	Cat. p. 368
49	"Cat. pp. 307(?), 373"
50	Leofric; cat. p. 323
52	"Cat. pp. 304, 367"
53	Leofric
54	"Leofric; cat. pp. 307, 368"
55	"Cat. pp. 304, 368"
57	"Cat. pp. 302, 373"
58	"Cat. pp. 303, 372"
59	"Cat. pp. 302, 372"
60	"Cat. pp. 303, 372"
61	"Cat. pp. 303, 370"
62	"Cat. pp. 301, 372"
63	"Cat. pp. 302, 373"
64	Cat. p. 372
65	Cat. p. 372
66	"Cat. pp. 302, 371"
67	"Cat. pp. 302, 371"
68	"Cat. pp. 302, 373"
69	"Cat. pp. 303, 374"
70	"Cat. pp. 302, 372"
71	Cat. p. 367
72	"Cat. pp. 302, 373"
73	"Cat. pp. 303, 367"
75	Cat. p. 366
76	Cat. p. 371
77	"Cat. pp. 301, 372"
78	"Cat. pp. 301, 372"
79	"Cat. pp. 302, 372"
80	Cat. p. 373
81	Cat. p. 370
82	Cat. p. 368
83	"Cat. pp. 301, 372"
84	Cat. p. 369
85	"Cat. pp. 304, 369"
86	Cat. p. 369
87	"Cat. pp. 302, 373"
88	1327; cat. p. 368
89	"Cat. pp. 302, 370"
90	Cat. p. 371
91	Cat. p. 371
92	"?Leofric; cat. pp. 303, 367"
93	Cat. p. 370
94	Cat. p. 372; Leland
95	Cat. p. 370
96	Cat. p. 369
97	"Cat. pp. 309(?), 373"
98	"Cat. pp. 309(?), 373"
99	"Cat. pp. 302, 372"
100	Cat. p. 370
101	Cat. p. 371
102	"Cat. pp. 302, 303, 372"
103	"Cat. pp. 305, 371"
104	Cat. p. 368
105	"Cat. pp. 309, 370"
106	"Cat. pp. 303, 371; Leland"
107	"Cat. pp. 305, 367; Leland"
108	"Cat. pp. 308, 336"
111	"Cat. pp. 302, 372"
112	"Cat. pp. 302, 370"
113	"Leofric; cat. pp. 302, 367 or 371"
114	"Cat. pp. 302, 372"
116	Cat. p. 368; Leland
117	Cat. p. 370
118	"Cat. pp. 307(?), 373"
119	Cat. p. 370
120	Cat. p. 370
121	Cat. p. 367
122	Cat. p. 373
123	"Cat. pp. 303, 372"
124	Cat. p. 370
125	Cat. p. 373
126	Cat. p. 370
127	"Cat. pp. 302, 367 or 371"
128	Cat. p. 368
129	"Cat. pp. 303, 372"
130	"Cat. pp. 302, 373"
131	"Cat. pp. 302, 372"
132	"Cat. pp. 304, 369"
133	"Cat. pp. 302, 373"
134	"Cat. pp. 302, 373"
135	Cat. p. 373; Leland
136	Cat. p. 371
137	"?Leofric; cat. pp. 303, 371; Leland"
139	Cat. p. 369
140	Cat. p. 304
142	Cat. p. 368
143	Cat. p. 350
144	Cat. p. 333
194	C.VII.3; cat. 119
195	Ingram 47
282	Cat. 99
283	Cat. 92
337	B. iii
897	a
898	A
1027	Cat. 339; Ingram 149
1028	.L.; cat. 211; Ingram 110
1029	Cat. 164; Ingram 73
1030	Cat. 144; Ingram 130
1031	Ingram 68
1032	Cat. 1554; Ingram 35
1033	Cat. 13 or 14; Ingram 95
1034	H. of Eastry 4
1035	Cat. 195; Ingram 59; Leland
1036	d; Cat. 118; Ingram 268
1038	Cat. 988; Ingram 280
1039	Cat. 232; Ingram 293
1042	Cat. 354
1043	Cat. 152; Ingram 128
1044	Cat. 156; Ingram 143
1045	Cat. 59; Ingram 136
1046	Cat. 1166; Ingram 61
1047	Cat. 351
1048	Cat. 853; Ingram 176
1049	Cat. 282; Ingram 152
1052	Cat. 1438
1055	? Cat. 311
1056	? Cat. 186; Ingram 155
1057	Cat. 74
1058	Cat. 94
1060	Cat. 1310
1061	Old cat. 44
1064	Cat. 1389
1065	? Cat. 358
1067	Old cat. 152
1068	Cat. 47
1071	Cat. 886; Ingram 125; Leland
1072	Cat. 257
1073	Cat. 281, Stone 10
1079	Cat. 1420
1080	Cat. 188 or 189
1081	?Cat. 114
